id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
642,1147,119.003,240.882,313.391,177.291,176.81,1027.377,25,1,5,1,1,1,1,0,3,5,5,2,2,0,0,0,1,1,1,1,1,0,1,MiniEssay7,0.512160570103678,0.512160570103678,0,0
655,818,111.801,155.999,107.059,159.219,147.661,681.739,31,1,5,1,1,1,0,0,2,3,3,3,3,0,0,0,1,1,1,1,1,0,1,A123345BB,-0.209507525223705,-0.209507525223705,0,0
681,1107,143.697,256.193,171.592,196.031,162.209,929.722,34,1,5,1,0,1,1,1,3,3,3,1,2,0,0,0,1,1,1,1,1,0,1,qwerty1234,0.512160570103678,0.512160570103678,0,0
683,2242,242.247,351.534,404.107,732.556,337.816,2068.26,36,1,5,1,1,0,1,0,2,5,4,2,2,0,0,0,1,1,1,1,1,0,1,Gracie1113,-0.446036486925963,-0.446036486925963,0,0
687,2120,216.709,315.535,498.941,342.548,415.535,1789.268,82,1,5,1,1,1,0,1,3,5,5,3,3,0,0,0,1,1,1,1,1,0,1,happiness1,0.748689531805936,0.748689531805936,0,0
691,1132,156.121,216.114,171.41,167.475,150.342,861.462,50,1,5,1,1,0,0,1,2,5,5,3,1,0,0,0,1,1,1,1,1,0,1,22umassd,-0.682565448628221,-0.682565448628221,0,0
710,996,142.292,165.176,185.798,117.32,232.805,843.391,28,1,5,1,1,1,1,1,4,6,6,1,1,0,0,0,1,1,1,1,1,0,1,B481384652,1.23382866543106,1.23382866543106,0,0
714,853,137.854,126.256,122.715,106.157,188.387,681.369,44,1,5,1,1,1,1,1,4,5,5,1,1,0,0,0,1,1,1,1,1,0,1,8546957a,1.23382866543106,1.23382866543106,0,0
746,852,107.632,176.192,217.617,115.481,141.369,758.291,33,1,5,1,0,0,1,0,1,3,2,4,4,0,0,0,1,1,1,1,1,0,1,97531poker,-0.931175620551088,-0.931175620551088,0,0
757,1853,251.681,529.047,322.336,188.3,165.346,1456.71,23,1,5,1,1,1,0,0,2,3,4,4,3,0,0,0,1,1,1,1,1,0,1,penguins1,-0.209507525223705,-0.209507525223705,0,0
758,1948,239.396,382.498,295.731,386.408,493.58,1797.613,39,1,5,1,1,0,1,1,3,5,4,4,3,0,0,0,1,1,1,1,1,0,1,John1980,0.748689531805936,0.748689531805936,0,0
770,1298,118.977,229.429,204.961,357.606,211.169,1122.142,55,1,5,1,1,1,1,1,4,4,4,5,5,0,0,0,1,1,1,1,1,0,1,101597JS,2.17994451224009,2.17994451224009,0,0
778,1021,110.821,179.02,151.381,153.286,203.029,797.537,38,1,5,1,0,1,1,1,3,5,4,3,1,0,0,0,1,1,1,1,1,0,1,hxfpj85rrj,0.27563160840142,0.27563160840142,0,0
787,1086,184.305,348.653,105.427,145.719,136.34,920.444,33,1,5,1,1,1,1,1,4,5,5,1,1,0,0,0,1,1,1,1,1,0,1,qwertyuio1,1.23382866543106,1.23382866543106,0,0
791,1026,133.601,168.825,181.103,183.164,149.915,816.608,62,1,5,1,0,0,1,1,2,5,4,3,4,0,0,0,1,1,1,1,1,0,1,123456st,0.027021436478553,0.027021436478553,0,0
794,775,125.124,151.305,121.987,190.341,94.413,683.17,22,1,5,1,1,0,0,1,2,5,5,4,3,0,0,0,1,1,1,1,1,0,1,x432yy23iw,-0.209507525223705,-0.209507525223705,0,0
810,1030,159.957,180.328,149.005,166.747,169.028,825.065,26,1,5,1,1,0,0,1,2,5,4,3,3,0,0,0,1,1,1,1,1,0,1,kdogi8e2,-0.209507525223705,-0.209507525223705,0,0
818,2758,312.101,751.877,391.402,608.754,340.742,2404.876,35,1,5,1,0,1,1,1,3,5,5,4,4,0,0,0,1,1,1,1,1,0,1,082298mf,0.985218493508194,0.985218493508194,0,0
837,2370,510.178,437.332,278.71,287.824,493.409,2007.453,23,1,5,1,0,0,1,1,2,5,5,0,0,0,0,0,1,1,1,1,1,0,1,567644J99,-0.919094410330479,-0.919094410330479,0,0
883,549,81.401,116.001,96.284,65.038,77.136,435.86,20,1,5,1,1,0,1,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0,1,Noah1234,0.0391026466991614,0.0391026466991619,0,0
893,663,167.106,127.883,68.523,67.679,92.862,524.053,37,1,5,1,1,0,1,1,3,4,1,3,5,0,0,0,1,1,1,1,1,0,1,lehviput1,1.22174745521045,1.22174745521045,0,0
899,1468,129.692,205.258,149.906,746.785,108.825,1340.466,48,1,5,1,1,1,1,1,4,5,5,2,2,0,0,0,1,1,1,1,1,0,1,Pj52xh3nT,1.47035762713332,1.47035762713332,0,0
914,3288,485.5,548.138,573.752,509.416,391.967,2508.773,44,1,5,1,1,1,0,0,2,5,4,4,2,0,0,0,1,1,1,1,1,0,1,DL1776RR90,-0.446036486925963,-0.446036486925963,0,0
919,990,169.715,128.914,177.993,143.668,208.644,828.934,21,1,5,1,0,0,1,1,2,5,4,6,5,0,0,0,1,1,1,1,1,0,1,baxter12,0.263550398180811,0.263550398180811,0,0
